year,location,name,school,medal,score,rank,team
2005,,Trần Chiêu Minh,"THPT năng khiếu ĐHQG TP HCM",HCB,31/42,53,
2005,,Trần Trọng Đan,"THPT năng khiếu Trần Phú, Hải Phòng",HCB,30/42,57,
2005,,Đỗ Quốc Khánh,"THPT chuyên Lê Quý Đôn, Đà Nẵng",HCĐ,19/42,144,
2005,,Nguyễn Trường Thọ,THPT chuyên KHTN ĐHQG HN,HCĐ,16/42,191,
2005,,Nguyễn Nguyên Hùng,"THPT chuyên ĐH Sư phạm Hà Nội",HCĐ,15/42,207,
2006,"Slovenia, Ljubljana",Nguyễn Duy Mạnh,"THPT chuyên Nguyễn Trãi, Hải Dương",HCV,29/42,21,13/90 (131)
2006,,Hoàng Mạnh Hùng,THPT chuyên KHTN ĐHQG HN,HCV,28/42,27,
2006,,Nguyễn Xuân Thọ,THPT chuyên Vĩnh Phúc,HCB,22/42,76,
2006,,Lê Nam Trường,THPT chuyên Hà Tĩnh,HCB,19/42,117,
2006,,Đặng Bảo Đức,THPT chuyên KHTN ĐHQG HN,HCĐ,18/42,132,
2006,,Lê Hồng Quý,"THPT chuyên Đại học Vinh",HCĐ,15/42,189,
2007,"Việt Nam, Hà Nội",Đỗ Xuân Bách,THPT chuyên KHTN ĐHQG HN,HCV,31/42[32],12,"03/93 (Nga thứ 1, Trung Quốc thứ 2, Hàn Quốc thứ 4)"
2007,,Phạm Duy Tùng,THPT chuyên KHTN ĐHQG HN,HCV,29/42,28,
2007,,Phạm Thành Thái,"THPT chuyên Nguyễn Trãi, Hải Dương",HCV,30/42,19,
2007,,Nguyễn Xuân Chương,THPT chuyên Vĩnh Phúc,HCB,28/42,40,
2007,,Lê Ngọc Sơn,THPT chuyên Bắc Giang,HCB,28/42,40,
2007,,Đặng Ngọc Thanh,THPT chuyên Quảng Bình,HCB,22/42,93,
2008,"Tây Ban Nha, Madrid",Lê Ngọc Anh,"THPT chuyên Lam Sơn, Thanh Hóa",HCV,32/42,35,12/97 (159)
2008,,Hoàng Đức Ý,"THPT chuyên Lam Sơn, Thanh Hóa",HCV,34/42,29,
2008,,Đỗ Thị Thu Thảo,"THPT chuyên Nguyễn Trãi, Hải Dương",HCB,29/42,57,
2008,,Nguyễn Phạm Đạt,"THPT chuyên ĐH Sư phạm Hà Nội",HCB,23/42,116,
2008,,Đặng Trần Tiến Vinh,"THPT năng khiếu ĐHQG TP HCM",HCĐ,21/42,148,
2008,,Nguyễn Trọng Hoàng,"THPT chuyên Đại học Vinh",HCĐ,20/42,159,
2009,"Đức, Bremen",Hà Khương Duy[36][37],THPT chuyên KHTN ĐHQG HN,HCV,39/42,004/565,15/104 (161).
2009,,Phạm Đức Hùng,"THPT năng khiếu Trần Phú, Hải Phòng",HCV,33/42,37,
2009,,Phạm Hy Hiếu,"THPT năng khiếu ĐHQG TP HCM",HCB,29/42,62,
