LIE,95,107,90,87,87,97,99,,85,90,88,89,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,62,66,70,54,56,82,73,51,50,78,83,55,67,74,81,77,71,72,81,74,,53,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,74,50,65,42,46,58,45,39,49,35,31,33,53,51,52,42,56,62,51,55,51,32,50,47,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,89,95,97,79,79,77,74,81,60,61,74,82,85,71,69,79,80,53,71,65,,,,64,65,,48,44,35,30,38,37,,32,29,,25,23,,,,,,,,,,,,,,,,,,,,
LVA,57,74,79,66,66,66,57,57,62,63,60,52,47,52,49,40,38,46,22,37,22,33,39,38,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,46,39,35,62,,75,53,,67,63,48,59,63,42,58,56,63,76,60,64,56,48,62,46,61,46,54,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,67,79,80,78,85,70,62,67,74,63,81,65,72,41,55,63,52,55,57,52,60,65,24,34,40,40,31,36,38,31,23,18,24,23,25,,,,,,,,,,,,,,,,,,,,,,,
MAS,37,56,57,23,31,35,41,54,75,55,74,70,75,73,67,69,59,64,63,62,69,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,58,63,38,48,54,30,46,39,50,48,20,9,21,17,30,48,40,26,56,50,57,41,36,54,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,43,23,19,26,17,31,22,33,50,37,37,24,31,37,41,46,46,32,52,44,32,53,58,65,61,50,35,37,31,37,40,,,,,,27,,,,,,,,,,,,,,,,,,,,,
MKD,65,73,74,67,74,63,79,58,36,59,55,62,54,48,47,43,43,43,36,40,46,48,31,50,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,99,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,93,88,89,88,95,97,94,94,83,84,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,48,33,45,44,42,43,54,50,54,29,34,44,,19,25,35,31,40,25,30,30,44,42,51,61,36,47,46,,,30,31,23,10,,22,,,17,17,,16,18,15,13,14,14,9,12,12,9,9,8,,,,,
MOZ,,,,,,,,,,,,90,90,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCY,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,87,88,88,82,84,67,78,84,90,,85,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,91,80,82,,82,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,18,44,43,13,25,22,28,38,47,33,56,62,47,61,64,54,54,46,31,44,37,59,45,37,35,30,37,29,29,21,14,,19,17,7,14,10,16,11,5,15,17,15,12,12,10,13,14,,,,,,,,,,
